op name, kernel name, exec duration (ms), global size, local size, output size
node_1547,kernel_repeat,0.284200,16x64x1,0x0x0,64x16x64x1
kv_cmpr-24,kernel_rms_norm_mul,0.009600,32768x1x1,512x1x1,512x64x1x1
kv-24,kernel_transpose_32_16,0.003900,128x16x0,1x16x0,4096x64x1x1
kv-24,kernel_mul_mat_Ab_Bi_8x4,0.134200,8x1024x1,1x128x1,4096x64x1x1
Kcur-24,kernel_concat_f32_non_contiguous,0.386600,16x64x1,0x0x0,192x16x64x1
Vcur_cont-24,kernel_cpy_f32_f32,0.013900,1024x64x1,64x1x1,128x16x64x1
cache_k_l24 (view),kernel_set_rows_f16_i64,0.015700,65536x1x1,1024x1x1,3072x4096x1x1
cache_v_l24 (view),kernel_set_rows_f16_i64,0.011900,65536x1x1,1024x1x1,2048x4096x1x1
__fattn__-24,flash_attn_f32_f16,9.342800,64x16x0,16x1x0,128x16x64x1
node_1568,kernel_transpose_32_16,0.009700,512x16x0,1x16x0,2048x64x1x1
node_1568,kernel_mul_mat_Ab_Bi_8x4,0.375600,8x512x1,1x128x1,2048x64x1x1
ffn_inp-24,kernel_add,0.021000,4096x1x1,64x1x1,2048x64x1x1
ffn_norm-24,kernel_rms_norm_mul,0.019400,65536x1x1,1024x1x1,2048x64x1x1
ffn_moe_logits-24,kernel_mul_mm_f32_f32_l4_lm,0.515500,128x1x1,128x1x1,64x64x1x1
ffn_moe_probs-24,kernel_soft_max_4,0.003700,4096x1x1,64x1x1,64x64x1x1
ffn_moe_argsort-24,kernel_argsort_f32_i32,0.015500,64x64x1,64x1x1,64x64x1x1
ffn_moe_weights-24,kernel_get_rows_f32,0.004300,384x64x1,64x1x1,1x6x64x1
ffn_moe_weights_scaled-24,kernel_scale,0.001700,96x1x1,64x1x1,1x6x64x1
ffn_moe_gate-24,kernel_mul_mv_id_q4_0_f32_8x_flat,9.207400,11264x1x384,64x1x1,1408x6x64x1
ffn_moe_up-24,kernel_mul_mv_id_q4_0_f32_8x_flat,9.238300,11264x1x384,64x1x1,1408x6x64x1
ffn_moe_weighted-24,kernel_swiglu,0.082600,196608x1x1,512x1x1,1408x6x64x1
ffn_moe_down-24,kernel_mul_mv_id_q4_0_f32_8x_flat,9.872400,16384x1x384,64x1x1,2048x6x64x1
